Protein 1	Protein 2
P25441	P36121
P40204	Q12420
P19659	P32570
P38782	P32570
P32585	P32570
P32569	P32570
P40204	P19736
P23639	P40302
P32610	P31412
P16522	P38042
P32570	P40356
P53600	P53622
Q07887	P36224
P40364	P38885
P40314	P38879
P32570	Q08278
P25441	P07703
P36121	P07703
P36160	Q08235
Q04868	P42935
P54791	P38826
Q02204	P31334
P22354	P31334
P22353	P31334
P42841	P45976
Q06640	P52286
P32570	Q12321
Q08278	Q12321
P30902	P09457
P48232	P35727
P25441	P35718
P36121	P35718
Q12368	P43321
P11747	Q05021
P38842	Q08980
P35723	Q08980
Q07786	P35497
P32570	P34162
P11746	Q6B2C0
P16658	Q02825
P31334	P32387
P31334	P32388
P14741	P12754
Q12415	P32367
Q12308	P32367
Q06339	P32367
P38799	Q04602
P16522	Q04601
P25451	P22141
Q12349	P22135
P32367	P34111
P42884	Q07747
P41543	Q92316
P39007	Q92316
Q99181	Q04693
Q05946	Q12220
P07703	P32349
P35718	P32349
P32605	P53207
P16658	Q04675
Q02825	Q04675
P40204	Q03338
P19735	Q03338
P43321	Q03338
P39007	P46964
Q92316	P46964
P32639	P36048
P32357	P36048
P32570	Q06213
P23642	P39107
P32610	P39111
Q04003	P40963
P38867	P40956
P39970	P40956
P40339	P38629
P22141	P38624
P07703	P22276
P35718	P22276
Q06568	P39946
P32634	P38615
Q12265	P38620
P38738	P25366
Q07791	P25384
Q06616	P39996
P00937	P00899
Q92316	Q02795
P16387	P32473
Q08204	P43124
P32610	P22203
P39111	P22203
P31334	Q04599
P20436	P20434
Q03338	P57743
Q08980	P40027
P38688	P20424
O94742	P40016
Q12377	P40016
P32496	P40016
P42841	Q12102
P45976	Q12102
P31334	O14464
P32570	Q12124
P40356	Q12124
Q06213	Q12124
Q07834	Q03208
P40350	P33767
P16661	P33767
Q92316	P33767
Q12345	P40060
Q03435	P40060
P31244	P06779
P53224	Q06144
Q05900	P39682
P52286	P38352
P40970	P25045
P38827	P38337
Q03323	P38337
P43132	P38337
P13434	P06774
P27999	P08518
P42841	Q06102
P45976	Q06102
P40016	Q06103
P21691	P06701
P15625	P15624
P52286	Q03919
P53204	Q06178
P32570	P38304
Q08278	P38304
Q12368	P53905
P25296	P23287
P38700	Q12028
P36000	Q12028
P40155	P80667
P31334	P36533
Q04368	Q03981
P31334	P36531
Q04599	P36520
P36533	P36520
P36531	P36520
P36528	P36520
P31334	P36527
P36520	P36527
P36520	P36526
P31334	P36525
P36520	P36525
P32559	P53070
P38324	Q12098
P31334	P36517
P36520	P36517
P36520	P36516
P36162	Q03954
Q12248	Q03954
P40014	Q04477
P36040	Q05778
P36224	P33420
P38696	P33420
Q02939	Q12004
Q04673	Q12004
