Protein 1	Protein 2
P40096	P48569
P13434	P48569
P14064	P48569
Q12308	P48569
Q06339	P48569
P32367	P48569
P48569	P39720
P48569	Q02516
P48569	P46678
Q12415	P48569
Q06339	Q08474
P32367	Q08474
Q06339	Q04934
P32367	Q04934
Q12308	Q08474
Q12308	Q04934
P29056	P48569
Q12408	P40096
Q06339	Q03702
P32367	Q03702
P48569	Q03148
P32583	P40096
Q12308	Q03702
Q03148	Q08474
Q03148	Q04934
P32583	Q06339
P32583	P32367
P54837	P40096
Q04651	P40096
P32583	P39720
Q12308	P38911
Q06339	P38911
P32367	P38911
P32583	P46678
P40096	P43555
Q12308	Q06407
Q04651	P39720
P39720	P43555
Q12408	Q12308
Q12408	Q06339
Q12408	P32367
Q12408	P39720
P54837	P39720
Q12408	P46678
Q03148	Q03702
Q12415	P38911
P32583	Q12308
Q06339	Q04225
P32367	Q04225
P54837	P46678
Q04651	P46678
P46678	P43555
Q12308	P43638
P54837	Q06339
P54837	P32367
Q06339	Q04651
P32367	Q04651
P15202	P46678
Q06339	P43555
P32367	P43555
P53600	P40096
P53622	P40096
P34237	P39720
Q03148	P43638
P40096	P41811
P40096	P41810
P53633	P40096
Q12396	P40096
Q05955	P40096
P53285	P40096
Q08199	P40096
P36016	P40096
P40096	P39727
P40096	P39704
P40096	P28795
P40096	Q06686
P40096	P47161
P40096	P32074
P40214	P40096
P38833	P40096
P40096	P53050
Q06407	Q03148
P40096	P53740
P40096	P38139
P40096	P53892
P40096	P43621
P40096	P47123
P40096	P41817
P40096	P39526
Q06339	Q06407
P32367	Q06407
Q12415	Q05790
P13434	Q05790
P14064	Q05790
Q12308	Q05790
Q06339	Q05790
P32367	Q05790
Q05790	P39720
Q05790	Q02516
Q12308	Q04225
P13434	Q08474
P14064	Q08474
Q02516	Q08474
P40096	P40509
P13434	Q04934
P14064	Q04934
Q02516	Q04934
Q04383	P46678
P54837	Q12308
Q12308	Q08992
Q06339	Q08992
Q08992	P32367
Q06640	P53214
Q12308	Q04651
Q12415	P25381
P13434	P25381
P14064	P25381
Q12308	P25381
Q06339	P25381
P32367	P25381
P53214	P38352
P25381	P39720
P36018	P39720
P53214	Q03899
P25381	Q02516
P53214	P47005
Q06339	P43638
P32367	P43638
Q08992	P46678
Q12308	P43555
Q12408	P13434
Q12408	P14064
P32583	Q03148
Q12408	Q02516
Q03148	P38911
Q03148	Q04225
P15202	Q12308
Q06493	P40096
P38857	P40096
P38800	P40096
Q04746	P40096
Q01684	P40096
P53311	P40096
P00044	P40096
P00045	P40096
P38682	P40096
P40096	P01097
P40096	P53953
P40096	P38325
P40096	P53157
P40096	P28737
P40096	P38969
P39720	Q04225
P40096	P23833
P40096	P38072
P40096	Q02486
P40096	Q05359
Q12308	P53214
Q06339	P53214
P32367	P53214
P38817	P40096
P22137	P40096
Q12308	P36018
Q06567	P40096
P11710	P40096
P40096	P47025
P40096	P40563
Q12308	Q03694
Q06339	Q03694
P32367	Q03694
Q06339	Q08873
P32367	Q08873
P39987	P40096
Q06339	Q04383
P32367	Q04383
Q04651	Q03148
P38817	P39720
Q12415	P38266
P13434	P38266
P14064	P38266
Q12308	P38266
Q06339	P38266
P32367	P38266
Q02516	P38266
Q03148	P43555
Q12415	P11655
P11655	Q12308
P53633	Q12308
Q12396	Q12308
P11655	Q06339
P53633	Q06339
Q12396	Q06339
P11655	P32367
P53633	P32367
Q12396	P32367
Q12308	P53285
Q06339	P53285
P32367	P53285
Q12415	Q08199
P13434	Q08199
P14064	Q08199
Q12308	Q08199
Q06339	Q08199
P32367	Q08199
Q12415	P36016
P13434	P36016
P14064	P36016
Q12308	P36016
P29056	P36016
Q06339	P36016
P32367	P36016
Q12415	Q06001
Q12308	Q06001
Q06339	Q06001
P32367	Q06001
Q12308	P39734
P29056	P39734
Q06339	P39734
P32367	P39734
Q12308	P39727
Q06339	P39727
P32367	P39727
P53633	P39720
Q12396	P39720
Q05031	P39720
P53285	P39720
Q08199	P39720
Q12239	P39720
P36016	P39720
P39734	P39720
P39727	P39720
Q12308	P39704
Q06339	P39704
P32367	P39704
P39720	P39704
P13434	Q03880
P14064	Q03880
Q12308	Q03880
Q06339	Q03880
P32367	Q03880
P39720	Q03880
Q08199	Q02516
P36016	Q02516
Q03880	Q02516
P13434	P28795
P14064	P28795
Q12308	P28795
Q06339	P28795
P32367	P28795
P39720	P28795
Q02516	P28795
Q12308	Q99332
P29056	Q99332
Q06339	Q99332
P32367	Q99332
P39720	Q99332
Q12415	P53740
Q12308	P53740
Q06339	P53740
P32367	P53740
Q12415	Q06686
P13434	Q06686
P14064	Q06686
Q12308	Q06686
P29056	Q06686
Q06339	Q06686
P32367	Q06686
P39720	Q06686
Q02516	Q06686
Q12415	P43611
P13434	P43611
P14064	P43611
Q12308	P43611
Q06339	P43611
P32367	P43611
P39720	P43611
Q02516	P43611
Q12308	P43604
Q06339	P43604
P32367	P43604
P13434	P41806
P14064	P41806
Q12308	P41806
Q06339	P41806
P32367	P41806
P39720	P41806
Q02516	P41806
Q12308	P47161
Q06339	P47161
P32367	P47161
P39720	P47161
P53633	P46678
Q12396	P46678
